

        Monitoring /proc/3633/stat:

Time        State           SysTm    UsrTm
  0     Sleeping(memory)       0        0
  1     Sleeping(memory)       0        0
  2     Sleeping(memory)       0        0
  3     Running                0        0
  4     Sleeping(memory)       0       89
  5     Sleeping(memory)       0       89
  6     Sleeping(memory)       0       89
  7     Running                0      108
  8     Sleeping(memory)       0      177
  9     Sleeping(memory)       0      177
 10     Sleeping(memory)       0      177
 11     Running                0      225
 12     Sleeping(memory)       0      266
 13     Sleeping(memory)       0      266
 14     Sleeping(memory)       0      266
 15     Running                0      333
 16     Sleeping(memory)       0      355
 17     Sleeping(memory)       0      355
 18     Sleeping(memory)       0      355
 19     Running                0      440
procmon: Cannot open /proc/3633/stat, the monitored process is not running any more.
