

        Monitoring /proc/4959/stat:

Time        State           SysTm    UsrTm
  0     Sleeping(memory)       0        0
  1     Sleeping(memory)       0        0
  2     Sleeping(memory)       0        0
  3     Running                0        2
  4     Sleeping(memory)       0       91
  5     Sleeping(memory)       0       91
  6     Sleeping(memory)       0       91
  7     Running                0      102
  8     Sleeping(memory)       1      183
  9     Sleeping(memory)       1      183
 10     Sleeping(memory)       1      183
 11     Running                1      213
 12     Sleeping(memory)       1      275
 13     Sleeping(memory)       1      275
 14     Sleeping(memory)       1      275
 15     Running                1      326
 16     Sleeping(memory)       1      366
 17     Sleeping(memory)       1      366
 18     Sleeping(memory)       1      366
 19     Running                1      428
procmon: Cannot open /proc/4959/stat, the monitored process is not running any more.
Process Terminated
