

        Monitoring /proc/3911/stat:

Time        State           SysTm    UsrTm
  0     Sleeping(memory)       0        0
  1     Sleeping(memory)       0        0
  2     Sleeping(memory)       0        0
  3     Running                0        0
  4     Sleeping(memory)       0       88
  5     Sleeping(memory)       0       88
  6     Sleeping(memory)       0       88
  7     Running                0      117
  8     Sleeping(memory)       0      177
  9     Sleeping(memory)       0      177
 10     Sleeping(memory)       0      177
 11     Running                0      224
 12     Sleeping(memory)       0      266
 13     Sleeping(memory)       0      266
 14     Sleeping(memory)       0      266
 15     Running                0      324
 16     Sleeping(memory)       0      356
 17     Sleeping(memory)       0      356
 18     Sleeping(memory)       0      356
 19     Running                0      424
procmon: Cannot open /proc/3911/stat, the monitored process is not running any more.
